m_min,num_tiers,bucket,advantage,accuracy,prior,class_tier_mi,mean_participation,release_rate,n_query
1,5,uniform/40,0.7065963060686016,0.794074074074074,0.29814814814814816,0.5697773859926333,542.85,1.0,2700
1,5,single,0.6928759894459103,0.7844444444444445,0.29814814814814816,0.5697773859926333,542.85,1.0,2700
60,5,uniform/40,0.7065963060686016,0.794074074074074,0.29814814814814816,0.5697773859926333,542.85,1.0,2700
60,5,single,0.6928759894459103,0.7844444444444445,0.29814814814814816,0.5697773859926333,542.85,1.0,2700
90,5,uniform/40,0.6810982048574445,0.7762962962962963,0.2985185185185185,0.5697773859926333,528.9125,0.9675,2700
90,5,single,0.6858500527983105,0.7796296296296297,0.2985185185185185,0.5697773859926333,528.9125,0.9675,2700
100,5,uniform/40,0.6400420388859697,0.7462962962962963,0.29518518518518516,0.5697773859926333,446.3625,0.795,2700
100,5,single,0.6384655806621125,0.7451851851851852,0.29518518518518516,0.5697773859926333,446.3625,0.795,2700
105,5,uniform/40,0.5631220534311158,0.6911111111111111,0.292962962962963,0.5697773859926333,373.725,0.6525,2700
105,5,single,0.5605028810895757,0.6892592592592592,0.292962962962963,0.5697773859926333,373.725,0.6525,2700
110,5,uniform/40,0.4483306836248012,0.6127232142857143,0.29799107142857145,0.5697773859926333,269.5125,0.4575,2688
110,5,single,0.44568097509273974,0.6108630952380952,0.29799107142857145,0.5697773859926333,269.5125,0.4575,2688
115,5,uniform/40,0.2916439104314583,0.5070315469403269,0.3040668947168377,0.5697773859926333,175.625,0.29,2631
115,5,single,0.2938285090114692,0.508551881413911,0.3040668947168377,0.5697773859926333,175.625,0.29,2631
120,5,uniform/40,0.0751789976133651,0.35923935510541544,0.30715171558495247,0.5697773859926333,90.7875,0.145,2419
120,5,single,0.07398568019093076,0.3584125671765192,0.30715171558495247,0.5697773859926333,90.7875,0.145,2419
130,5,uniform/40,0.0,0.39626352015732547,0.39626352015732547,0.5697773859926333,18.2125,0.0275,1017
130,5,single,0.0,0.39626352015732547,0.39626352015732547,0.5697773859926333,18.2125,0.0275,1017
150,5,uniform/40,0.0,0.0,0.0,0.5697773859926333,0.0,0.0,0
150,5,single,0.0,0.0,0.0,0.5697773859926333,0.0,0.0,0
1,8,uniform/40,0.7231578947368422,0.8051851851851852,0.2962962962962963,0.6143723305818785,541.85,1.0,2700
1,8,single,0.7194736842105264,0.8025925925925926,0.2962962962962963,0.6143723305818785,541.85,1.0,2700
40,8,uniform/40,0.7231578947368422,0.8051851851851852,0.2962962962962963,0.6143723305818785,541.85,1.0,2700
40,8,single,0.7194736842105264,0.8025925925925926,0.2962962962962963,0.6143723305818785,541.85,1.0,2700
55,8,uniform/40,0.700733752620545,0.7885185185185185,0.29333333333333333,0.6143723305818785,519.0,0.94375,2700
55,8,single,0.7075471698113207,0.7933333333333333,0.29333333333333333,0.6143723305818785,519.0,0.94375,2700
62,8,uniform/40,0.6698412698412698,0.7688888888888888,0.3,0.6143723305818785,441.8125,0.7796875,2700
62,8,single,0.6746031746031748,0.7722222222222223,0.3,0.6143723305818785,441.8125,0.7796875,2700
68,8,uniform/40,0.49307036247334757,0.6458100558659218,0.30130353817504657,0.6143723305818785,304.05,0.5125,2685
68,8,single,0.5042643923240939,0.6536312849162011,0.30130353817504657,0.6143723305818785,304.05,0.5125,2685
74,8,uniform/40,0.24534686971235198,0.4797822706065319,0.3106531881804043,0.6143723305818785,149.9875,0.2390625,2572
74,8,single,0.24647490129723634,0.48055987558320373,0.3106531881804043,0.6143723305818785,149.9875,0.2390625,2572
80,8,uniform/40,0.01359516616314203,0.3521825396825397,0.34325396825396826,0.6143723305818785,55.7875,0.084375,2016
80,8,single,0.01359516616314203,0.3521825396825397,0.34325396825396826,0.6143723305818785,55.7875,0.084375,2016
95,8,uniform/40,0.0,0.6162790697674418,0.6162790697674418,0.6143723305818785,1.1875,0.0015625,86
95,8,single,0.0,0.6162790697674418,0.6162790697674418,0.6143723305818785,1.1875,0.0015625,86
