m_min,num_tiers,bucket,advantage,accuracy,prior,class_tier_mi,mean_participation,release_rate,n_query,advantage_l2,advantage_l3,honest_set,honest_class,collusion_rate
1,5,uniform/40,0.6374764595103578,0.7124719940253921,0.20687079910380882,0.4218790151220816,332.225,1.0,1339,0.7384324834749765,0.9962228517469309,59.78696741854637,6.544581848669042,0.1
1,5,single,0.6440677966101696,0.7176997759522031,0.20687079910380882,0.4218790151220816,332.225,1.0,1339,0.7280453257790368,0.9952785646836637,59.78696741854637,6.544581848669042,0.1
40,5,uniform/40,0.6112167300380228,0.6936329588014981,0.21198501872659176,0.4201262373419062,323.825,0.9396984924623115,1335,0.7365439093484418,0.9933899905571294,62.13368983957219,7.124021000086066,0.1
40,5,single,0.6131178707224334,0.6951310861423221,0.21198501872659176,0.4201262373419062,323.825,0.9396984924623115,1335,0.7337110481586402,0.9924457034938622,62.13368983957219,7.124021000086066,0.1
55,5,uniform/40,0.569364161849711,0.6611068991660348,0.21304018195602728,0.42253820317263124,295.6,0.8316582914572864,1319,0.71939736346516,0.9783427495291902,64.00302114803625,8.168845881519943,0.1
55,5,single,0.5529865125240848,0.6482183472327521,0.21304018195602728,0.42253820317263124,295.6,0.8316582914572864,1319,0.7080979284369114,0.9774011299435028,64.00302114803625,8.168845881519943,0.1
70,5,uniform/40,0.19137168141592917,0.37037037037037035,0.22136089577950044,0.42050275272267396,191.7,0.46733668341708545,1161,0.523719165085389,0.8747628083491461,73.79032258064517,16.963132969034607,0.1
70,5,single,0.19026548672566376,0.3695090439276486,0.22136089577950044,0.42050275272267396,191.7,0.46733668341708545,1161,0.5208728652751423,0.8453510436432637,73.79032258064517,16.963132969034607,0.1
77,5,uniform/40,0.1890660592255126,0.37707786526684167,0.23184601924759404,0.4140338636705466,182.3625,0.4050632911392405,1143,0.5185185185185185,0.8632478632478633,81.125,19.64406779661017,0.1
77,5,single,0.18792710706150342,0.3762029746281715,0.23184601924759404,0.4140338636705466,182.3625,0.4050632911392405,1143,0.49572649572649574,0.8252611585944919,81.125,19.64406779661017,0.1
82,5,uniform/40,0.18735891647855532,0.3717277486910995,0.2268760907504363,0.39933305189494184,194.9375,0.4274611398963731,1146,0.5066539923954373,0.903041825095057,84.48484848484848,18.802295552367287,0.1
