config,num_tiers,horizon,mean_linkability,median_anon_set,fraction_unique,fraction_below_m_min
K=3,3,1,0.001333333333333333,2426.0,0.0,0.0
K=3,3,2,0.005333333333333333,1994.0,0.0003333333333333333,0.0
K=3,3,5,0.06433333333333333,90.0,0.023333333333333334,0.0
K=3,3,10,0.35233333333333333,7.0,0.252,0.0
K=3,3,20,0.8003333333333333,1.0,0.7423333333333333,0.0
K=3,3,40,0.9926666666666667,1.0,0.987,0.0
K=3,3,80,1.0,1.0,1.0,0.0
K=5,5,1,0.002,2429.0,0.0,0.0
K=5,5,2,0.010666666666666666,2012.0,0.0016666666666666668,0.0
K=5,5,5,0.111,52.0,0.05433333333333333,0.0
K=5,5,10,0.44533333333333325,3.0,0.3506666666666667,0.0
K=5,5,20,0.846,1.0,0.8036666666666666,0.0
K=5,5,40,0.9936666666666667,1.0,0.988,0.0
K=5,5,80,1.0,1.0,1.0,0.0
K=8,8,1,0.003,2420.0,0.0,0.0
K=8,8,2,0.019666666666666666,1990.0,0.004333333333333333,0.0
K=8,8,5,0.16566666666666666,37.0,0.10166666666666667,0.0
K=8,8,10,0.5163333333333334,2.0,0.44033333333333335,0.0
K=8,8,20,0.878,1.0,0.842,0.0
K=8,8,40,0.996,1.0,0.9933333333333333,0.0
K=8,8,80,1.0,1.0,1.0,0.0
