n,m_min,t,predicted,empirical,abs_diff
20,16,8,0.9568255029663313,0.9556666666666667,0.0011588362996646229
40,16,16,0.9999999999954038,1.0,4.5962122996456856e-12
40,32,22,0.9845046859499036,0.98,0.0045046859499036085
60,16,16,1.0000000000000002,1.0,2.220446049250313e-16
60,32,32,0.9999999994851044,1.0,5.148955706246738e-10
60,48,36,0.994318988740777,0.994,0.0003189887407769598
80,16,16,1.0000000000000004,1.0,4.440892098500626e-16
80,32,32,1.0000000000000004,1.0,4.440892098500626e-16
80,48,48,0.9999999944404009,1.0,5.559599114413061e-09
120,16,16,0.9999999999999996,1.0,4.440892098500626e-16
120,32,32,0.9999999999999996,1.0,4.440892098500626e-16
120,48,48,0.9999999999999996,1.0,4.440892098500626e-16
