n,topology,degree,kb_per_client,setup_ms,upload_ms
10,complete,9,200.576,106.30000000000001,5.0
10,sparse,4,200.256,77.80000000000001,5.0
50,complete,49,203.136,334.30000000000007,5.0
50,sparse,6,200.384,89.2,5.0
100,complete,99,206.336,619.3,5.0
100,sparse,7,200.448,94.9,5.0
500,complete,499,231.936,2899.3,5.0
500,sparse,9,200.576,106.30000000000001,5.0
1000,complete,999,263.936,5749.3,5.0
1000,sparse,10,200.64,112.0,5.0
5000,complete,4999,519.936,28549.3,5.0
5000,sparse,13,200.832,129.1,5.0
