run,round,val_accuracy,val_loss,virtual_time,wall_time,participation
train,0,0.150625,2.0776055002544513,13.614865646785614,0.011718299938365817,59
train,1,0.125625,2.075602650167632,27.229731293571227,0.02058369992300868,41
train,2,0.156875,2.0694993666769825,40.84459694035684,0.031977999955415726,61
train,3,0.363125,2.0550380935371946,54.459462587142454,0.044142199913039804,66
train,4,0.330625,2.037010694102353,68.07432823392807,0.05216279998421669,41
train,5,0.38875,1.9998905687120005,81.68919388071369,0.06212649983353913,54
train,6,0.4375,1.9209548268289305,95.3040595274993,0.07216479978524148,57
train,7,0.46125,1.7928663638472826,108.91892517428492,0.0828977997880429,64
train,8,0.45875,1.6517030285860503,122.53379082107054,0.09426239971071482,67
train,9,0.465,1.5454693883581934,136.14865646785614,0.10433239955455065,59
train,10,0.49375,1.470718112860114,149.76352211464175,0.11616219952702522,68
train,11,0.48,1.4534550952613177,163.37838776142735,0.12527249963022768,49
train,12,0.48625,1.4278948578093065,176.99325340821295,0.13655529962852597,63
train,13,0.496875,1.4196037557458154,190.60811905499855,0.14669049973599613,56
train,14,0.493125,1.4136678609773836,204.22298470178416,0.15460849972441792,40
train,15,0.494375,1.4118826327698946,217.83785034856976,0.16394149977713823,51
train,16,0.495,1.4068937299723985,231.45271599535536,0.1718156998977065,44
train,17,0.4975,1.4076514235549233,245.06758164214096,0.18142139981500804,52
train,18,0.499375,1.4001735554698667,258.6824472889266,0.19271459965966642,65
train,19,0.499375,1.4043248399445876,272.2973129357122,0.20229659974575043,53
train,20,0.500625,1.4066454359033833,285.91217858249786,0.21092999982647598,41
train,21,0.498125,1.403125689884763,299.5270442292835,0.2202083000447601,53
train,22,0.491875,1.4066282159631984,313.1419098760691,0.2305350999813527,60
train,23,0.495,1.39975838165386,326.75677552285475,0.2403293999377638,58
train,24,0.500625,1.4040572823173931,340.3716411696404,0.25045239995233715,59
train,25,0.498125,1.4076864470589299,353.986506816426,0.26005899999290705,55
train,26,0.500625,1.4077464527827912,367.60137246321165,0.2696551999542862,55
train,27,0.491875,1.408226815759781,381.2162381099973,0.2778557001147419,45
train,28,0.49625,1.405078226862778,394.8311037567829,0.28890520008280873,61
train,29,0.491875,1.4058392859582218,408.44596940356854,0.29774140007793903,51
train,30,0.49625,1.4039885674756334,422.06083505035417,0.30613799998536706,48
train,31,0.49375,1.4104758447271908,435.6757006971398,0.31650729989632964,63
train,32,0.4975,1.4123651698292385,449.29056634392543,0.32727179978974164,61
train,33,0.493125,1.4081042372355013,462.90543199071107,0.337994699832052,63
train,34,0.4925,1.409176697339082,476.5202976374967,0.34712659986689687,53
train,35,0.49625,1.420707803445873,490.1351632842823,0.3565887997392565,55
train,36,0.488125,1.4177540363720766,503.75002893106796,0.36654449976049364,59
train,37,0.495625,1.4119493958211826,517.3648945778535,0.3769736997783184,58
train,38,0.495625,1.414261267341013,530.9797602246391,0.38696539984084666,56
train,39,0.499375,1.4151868591337051,544.5946258714247,0.3952922997996211,43
train,40,0.4975,1.4122780936553119,558.2094915182103,0.4032352997455746,44
train,41,0.49875,1.4081882392023175,571.8243571649958,0.4137285996694118,63
train,42,0.491875,1.4174191197997732,585.4392228117814,0.42434049979783595,62
train,43,0.4925,1.4155092734762251,599.054088458567,0.43332109972834587,51
train,44,0.500625,1.4053009676200785,612.6689541053526,0.4439024997409433,60
train,45,0.5,1.4083448102655598,626.2838197521381,0.4533253996632993,54
train,46,0.505625,1.414982696679766,639.8986853989237,0.46307079982943833,55
train,47,0.495625,1.411183883953937,653.5135510457093,0.4718959997408092,51
train,48,0.49625,1.415887908409847,667.1284166924949,0.47892719972878695,36
train,49,0.484375,1.4186668485232026,680.7432823392804,0.4894941998645663,64
train,50,0.486875,1.4145664501529693,694.358147986066,0.4992184997536242,54
train,51,0.498125,1.4215259389585864,707.9730136328516,0.5100547997280955,66
train,52,0.495625,1.4193583493382147,721.5878792796371,0.5197049998678267,56
train,53,0.49875,1.4167483613633516,735.2027449264227,0.5281651997938752,49
train,54,0.5,1.4115201770315378,748.8176105732083,0.537740099709481,57
train,55,0.495,1.4179656562741407,762.4324762199939,0.5465132999233902,48
train,56,0.49125,1.4141461802783073,776.0473418667794,0.5576266997959465,67
train,57,0.490625,1.4141534193674028,789.662207513565,0.5674458998255432,56
train,58,0.493125,1.4163777139696656,803.2770731603506,0.5774088997859508,57
train,59,0.49125,1.420029693438832,816.8919388071362,0.5881581995636225,62
train,60,0.494375,1.4172592016989178,830.5068044539217,0.5957661997526884,40
train,61,0.493125,1.4185566647438754,844.1216701007073,0.6045282997656614,50
train,62,0.49375,1.4189571724843875,857.7365357474929,0.6139260998461396,56
train,63,0.4975,1.4130517750262335,871.3514013942785,0.6225575997959822,49
train,64,0.493125,1.4188080299879646,884.966267041064,0.6320633997675031,56
train,65,0.495,1.4144188924627314,898.5811326878496,0.6419569998979568,60
train,66,0.495,1.4219105387187432,912.1959983346352,0.6515540999826044,56
train,67,0.490625,1.4240792069553891,925.8108639814208,0.6619477001950145,63
train,68,0.496875,1.4256243208347366,939.4257296282063,0.6704739001579583,49
train,69,0.500625,1.421769308264139,953.0405952749919,0.6807240999769419,61
train,70,0.49375,1.419929195201801,966.6554609217775,0.6916922000236809,66
train,71,0.491875,1.4179161375266238,980.2703265685631,0.7024053998757154,64
train,72,0.498125,1.4199007662700034,993.8851922153486,0.7133520997595042,60
train,73,0.495,1.4236205019462551,1007.5000578621342,0.722944299923256,58
train,74,0.4925,1.4237243935612343,1021.1149235089198,0.7314293999224901,49
train,75,0.4875,1.4320588164547992,1034.7297891557055,0.7408959998283535,54
train,76,0.503125,1.4203906055275857,1048.344654802491,0.7521621000487357,69
train,77,0.490625,1.4254510428418805,1061.9595204492766,0.7616675002500415,55
train,78,0.496875,1.4225689159430284,1075.5743860960622,0.7716158002149314,60
train,79,0.495,1.4284858566168577,1089.1892517428478,0.7812983002513647,59
